hypothesis,cell,stem,K,U_circ_K,A_K,bucket,n
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,1,0.466667,0.533333,__all__,
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,2,0.506667,0.493333,__all__,
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,4,0.506667,0.493333,__all__,
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,8,0.52,0.48,__all__,
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,16,0.52,0.48,__all__,
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,32,0.52,0.48,__all__,
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,64,0.52,0.48,__all__,
h1,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,1,0.55,0.45,__all__,
h1,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,2,0.616667,0.383333,__all__,
h1,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,4,0.733333,0.266667,__all__,
h1,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,8,0.75,0.25,__all__,
h1,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,16,0.816667,0.183333,__all__,
h1,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,32,0.85,0.15,__all__,
h1,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,64,0.85,0.15,__all__,
h1,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,1,0.4,0.6,__all__,
h1,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,2,0.426667,0.573333,__all__,
h1,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,4,0.453333,0.546667,__all__,
